train_name,stop_key,stop_id,stop_name,parent_id,key,direction
S,S Atlantic,S10,Atlantic,S10,SAt,S10S
L,L Atlantic Av,L24,Atlantic Av,L24,LAt,L24S
2,2 Atlantic Av - Barclays Ctr,235,Atlantic Av - Barclays Ctr,235,2At,235S
D,D Atlantic Av - Barclays Ctr,D24,Atlantic Av - Barclays Ctr,235,DAt,D24S
R,R Atlantic Av - Barclays Ctr,R31,Atlantic Av - Barclays Ctr,235,RAt,R31S
D,D Avenue H,D32,Avenue H,D32,DAv,D32S
F,F Avenue I,F31,Avenue I,F31,FAv,F31S
D,D Avenue J,D33,Avenue J,D33,DAv,D33S
D,D Avenue M,D34,Avenue M,D34,DAv,D34S
F,F Avenue N,F33,Avenue N,F33,FAv,F33S
F,F Avenue P,F34,Avenue P,F34,FAv,F34S
N,N Avenue U,N09,Avenue U,N09,NAv,N09S
D,D Avenue U,D37,Avenue U,D37,DAv,D37S
F,F Avenue U,F36,Avenue U,F36,FAv,F36S
F,F Avenue X,F38,Avenue X,F38,FAv,F38S
B,B Bay 50 St,B23,Bay 50 St,B23,BBa,B23S
B,B Bay Pkwy,B21,Bay Pkwy,B21,BBa,B21S
N,N Bay Pkwy,N07,Bay Pkwy,N07,NBa,N07S
F,F Bay Pkwy,F32,Bay Pkwy,F32,FBa,F32S
R,R Bay Ridge - 95 St,R45,Bay Ridge - 95 St,R45,RBa,R45S
R,R Bay Ridge Av,R42,Bay Ridge Av,R42,RBa,R42S
S,S Bay Terrace,S20,Bay Terrace,S20,SBa,S20S
5,5 Baychester Av,502,Baychester Av,502,5Ba,502S
H,H Beach 105 St,H14,Beach 105 St,H14,HBe,H14S
H,H Beach 25 St,H10,Beach 25 St,H10,HBe,H10S
H,H Beach 36 St,H09,Beach 36 St,H09,HBe,H09S
H,H Beach 44 St,H08,Beach 44 St,H08,HBe,H08S
H,H Beach 60 St,H07,Beach 60 St,H07,HBe,H07S
H,H Beach 67 St,H06,Beach 67 St,H06,HBe,H06S
H,H Beach 90 St,H12,Beach 90 St,H12,HBe,H12S
H,H Beach 98 St,H13,Beach 98 St,H13,HBe,H13S
G,G Bedford - Nostrand Avs,G33,Bedford - Nostrand Avs,G33,GBe,G33S
L,L Bedford Av,L08,Bedford Av,L08,LBe,L08S
